T2M,WS10M,RH2M,PS,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,rain_label
14.47,5.18,68.62,93.14,329.62,24.63,0
8.87,4.34,68.19,93.74,335.12,15.65,0
9.81,2.2,76.62,93.28,331.27,17.42,0
9.36,1.86,82.88,93.26,337.4,7.14,0
12.52,5.19,75.56,93.01,322.55,17.33,0
15.19,5.47,77.25,92.61,335.29,20.36,0
18.43,5.81,53.88,92.6,322.34,28.67,0
19.19,3.81,56.94,92.55,333.98,28.73,0
15.16,7.61,50.81,92.94,309.2,28.31,0
12.89,2.19,52.69,93.73,314.99,23.23,0
10.36,2.19,75.75,93.89,335.14,7.62,0
13.2,5.17,69.0,93.52,325.99,24.9,0
18.26,5.35,73.75,92.17,372.73,13.63,0
17.18,7.78,49.06,92.54,313.12,28.87,0
13.66,4.64,51.12,93.33,311.87,25.46,0
16.62,6.76,62.75,92.99,335.11,20.49,0
12.65,3.59,48.75,94.26,294.11,28.39,0
17.62,5.8,48.94,93.7,321.73,28.87,0
21.88,5.55,48.5,93.27,337.1,29.9,0
23.75,9.63,41.19,93.04,346.28,29.98,0
23.29,8.58,37.75,92.77,342.82,28.73,0
20.22,4.88,55.94,93.26,364.51,21.65,0
21.45,4.76,53.94,93.36,363.05,24.46,0
20.96,3.8,63.38,93.33,373.34,20.61,0
21.44,5.02,63.81,93.11,376.62,23.34,0
20.05,3.49,77.25,92.59,376.55,21.01,1
13.26,6.64,86.44,92.82,359.73,5.66,1
14.26,4.68,64.12,93.06,329.83,21.01,0
18.81,3.23,56.31,93.14,317.07,30.75,0
21.58,4.18,56.94,93.28,335.56,30.51,0
21.46,5.12,55.0,93.11,332.42,30.91,0
22.45,3.12,58.19,92.65,362.48,27.35,0
21.76,4.19,71.75,92.73,376.75,21.93,0
15.73,6.8,77.19,93.46,362.34,7.05,0
15.49,3.05,56.19,93.87,354.97,22.77,0
17.05,1.85,63.69,93.47,370.85,16.16,0
21.0,4.42,64.06,92.77,354.69,28.11,0
21.98,4.41,60.94,92.11,384.16,20.31,0
17.99,4.73,77.25,92.35,378.16,7.53,0
18.06,3.93,65.06,92.97,339.51,27.97,0
17.86,3.82,79.12,92.79,374.62,10.77,0
17.15,2.9,84.81,92.8,372.86,14.05,1
16.47,2.81,81.94,92.98,376.91,9.09,0
18.44,3.08,77.75,93.0,368.57,20.84,0
19.45,2.92,73.62,93.3,369.0,20.99,0
20.26,4.55,85.69,92.92,385.68,12.81,1
21.91,2.7,82.06,92.57,384.24,19.6,1
22.81,2.78,65.31,92.71,347.31,30.74,0
25.48,4.1,67.69,92.51,390.44,24.8,0
25.22,3.54,64.0,92.24,390.05,24.02,0
23.05,3.7,67.5,92.55,376.88,23.18,0
20.83,5.59,84.62,92.57,390.31,10.96,0
23.69,2.85,68.0,92.35,389.71,28.8,0
25.59,1.84,62.69,92.56,383.73,30.59,0
28.12,4.35,60.69,92.87,407.11,28.53,0
27.6,2.84,65.5,92.99,403.34,27.3,0
28.12,4.03,66.88,93.0,400.26,30.33,0
28.71,6.56,55.44,92.61,413.34,28.44,0
25.01,4.71,57.69,93.16,382.71,26.46,0
24.44,2.44,59.56,93.37,373.32,26.61,0
25.19,3.21,52.12,92.94,360.23,31.12,0
24.58,3.52,52.19,93.01,360.76,28.02,0
24.36,3.23,49.75,93.07,358.88,30.19,0
23.21,5.26,63.06,93.34,379.66,27.81,1
23.88,3.16,73.94,93.05,404.4,13.34,0
23.17,5.86,68.12,93.24,394.08,18.13,0
21.77,2.52,65.88,93.49,365.98,27.87,0
23.57,3.58,59.5,93.17,369.84,29.2,0
25.48,4.09,58.06,92.7,371.16,29.9,0
27.41,4.15,58.5,92.63,384.66,29.61,0
27.01,3.07,66.12,92.82,405.16,19.23,0
27.83,3.25,67.62,93.12,410.81,19.72,0
24.62,4.08,75.19,93.62,401.96,18.15,1
26.16,3.66,77.75,93.4,387.03,27.61,0
25.34,4.63,80.88,93.17,399.85,23.81,1
25.8,3.83,66.06,92.81,385.79,28.11,0
23.12,3.28,58.5,93.55,368.21,27.64,0
22.45,4.54,77.19,93.53,375.47,24.59,1
18.5,1.61,79.75,93.9,365.93,22.75,0
20.2,2.59,61.5,93.88,334.42,29.92,0
22.99,5.47,58.44,93.38,364.48,28.71,0
23.7,3.81,68.12,92.83,391.35,20.06,0
